Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Education (Higher Education),Proposal Manager,proposal development manager for a central research development office,"105,000.00",,,Maryland,College Park,8-10 years,2-4 years,PhD,Woman,White
35-44,Computing or Tech,Lead Data Scientist,,"187,000.00","5,000.00",,California,West Hollywood,11-20 years,11-20 years,Master's degree,Man,White
35-44,Computing or Tech,Senior Email Specialist,I run an email program to reach customers,"98,000.00","15,000.00",,Oregon,Portland,11-20 years,8-10 years,College degree,Woman,White
18-24,"Marketing, Advertising & PR",Data Scientist,,"110,000.00",0.00,,California,Los Angeles,2-4 years,2-4 years,College degree,Man,White
45-54,Health care,Contract Administrator,,"75,000.00","1,250.00",,Hawaii,Honolulu,11-20 years,5-7 years,Some college,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
35-44,Library,Adult Services Librarian,,"60,000.00",,,New Jersey,East Brunswick,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Education (Primary/Secondary),School Psychologist,Masters +30 on the salary schedule,"50,443.00",,,Illinois,Chicago,2-4 years,2-4 years,Master's degree,Woman,White
45-54,Business or Consulting,Senior Content Strategist,Medical Device Industry,"100,000.00","10,000.00",,Colorado,Denver,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Data Engineering Manager,,"128,000.00","5,000.00",,Texas,Houston,5-7 years,2-4 years,College degree,Woman,White
25-34,Health care,Licensed Mental Health Counselor,,"38,000.00",,,Florida,Tallahassee,8-10 years,5-7 years,Master's degree,Woman,Black or African American
35-44,"Marketing, Advertising & PR",Managing Partner,,"170,000.00","10,000.00",Bonus not guaranteed,District of Columbia,Washington,11-20 years,11-20 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Librarian,"High school, FT","50,000.00",,,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
25-34,Nonprofits,Veterinarian,,"85,000.00",0.00,,Minnesota,Minneapolis,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Health care,Director psychometrics,,"142,000.00","7,000.00",,Illinois,Chicago,21-30 years,11-20 years,PhD,Woman,White
35-44,Pharma,Senior Scientist,,"91,200.00","8,000.00",,Florida,Tampa,11-20 years,11-20 years,College degree,Man,White
25-34,Engineering or Manufacturing,Environmental Scientist,,"56,500.00",0.00,,Illinois,Chicago,2-4 years,2-4 years,College degree,Man,White
35-44,Business or Consulting,Inclusion Strategist,DEI consultant,"82,500.00",0.00,,New York,Albany,11-20 years,1 year or less,PhD,Woman,White
55-64,"Marketing, Advertising & PR",Marketing Content Writer,"I write marketing content (such as blog posts, white papers) on technical topics (engineering, science, technology, so part marketing part technical writing","93,000.00","10,000.00",,Washington,Redmond,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Law,Attorney,,"110,000.00","10,000.00",Variable bonus structure; average one months salary minimum,Oregon,Portland,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Insurance,"AVP, Finance",,"143,100.00","25,000.00",,New York,New York,21-30 years,21-30 years,Some college,Woman,White
35-44,Nonprofits,Director of Education,"This is a small art museum, so I'm really a ""department"" of one. The only folks who report to me are instructors (independent contractors).","36,000.00","1,000.00",,Georgia,Atlanta,11-20 years,8-10 years,College degree,Woman,White
45-54,"Marketing, Advertising & PR",Senior Director of SEO,,"100,000.00","18,000.00",,California,Los Angeles,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Principal Engineer,,"155,000.00","25,000.00",,Pennsylvania,Philadelphia,11-20 years,11-20 years,Master's degree,Man,White
25-34,Business or Consulting,Operations Manager,"Business development, writing, event production, plus general ops support","66,000.00",,,District of Columbia,Washington,5-7 years,2-4 years,College degree,Non-binary,White
45-54,Law,Paralegal,Commercial Real Estate,"90,000.00","13,000.00",I work in big law which has skewed my salary to the high end,North Carolina,Charlotte,31-40 years,11-20 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Business or Consulting,"Director, Program Consultant","This is a small company, so for my team we're talking 1-2 direct reports running client contracts totaling ~$600,000.","72,000.00",,,Georgia,Atlanta,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Speech-language pathologist,Large public school district,"75,000.00",,10-month employee (income does not include optional summer work),Maryland,Silver Spring,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Health care,Healthcare Administrator,I manage the operations of 5 primary care clinics,"80,000.00","12,000.00",,Utah,Utah County,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Agriculture or Forestry,Agriculturist,Chief of staff,"120,000.00",0.00,,Maryland,Riverdale,11-20 years,11-20 years,College degree,Woman,White
45-54,"Accounting, Banking & Finance",Relationship Manager,Client service for high net worth clients,"125,000.00","35,000.00",Cash bonus plus companywide stock options,New York,New York,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Insurance,Product Manager - GL/UMB,,"85,000.00","13,000.00",Bonus is based on bonus pool funding and overall performance mectrics,Massachusetts,Worcester,11-20 years,2-4 years,College degree,Woman,White
35-44,Education (Primary/Secondary),Assistant Principal,,"112,000.00",0.00,,California,Redwood,8-10 years,2-4 years,Master's degree,Woman,Black or African American
25-34,Education (Higher Education),Adjunct instructor,,"32,000.00","2,000.00",Other work is side projects and short term summer gigs,Arizona,Phoenix,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Associate Professor & Academic Program Director,,"65,000.00","15,000.00",,Wisconsin,Kenosha,8-10 years,8-10 years,PhD,Woman,White
18-24,Hospitality & Events,Host/Server Assistant,,"13,000.00",,,Florida,Jacksonville Beach,1 year or less,1 year or less,College degree,Non-binary,White
25-34,Government and Public Administration,Environmental Scientist,,"75,000.00","6,000.00",,California,Long Beach,5-7 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Scholarly communications librarian,,"78,000.00",,,New York,New York,8-10 years,8-10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Computing or Tech,Community Support Lead,,"95,000.00","10,000.00",,Virginia,Williamsburg,11-20 years,5-7 years,College degree,Woman,White
35-44,Education (Primary/Secondary),Public school teacher,,"91,243.00","1,500.00",I do have a masters degree plus 45 credits with puts me in a better lane on the pay scale. I get about 1000 for personal day cash out and about 500 in different stipends for committee work,Washington,Edmonds,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Law,Staff Attorney,,"65,500.00",0.00,"Public interest, non-profit legal organization",Massachusetts,Springfield,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,"Hispanic, Latino, or Spanish origin, White"
35-44,Libraries,Director,,"78,000.00",,,Illinois,East Moline,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Pest Control,Financial Analyst,,"75,000.00","7,500.00",,Georgia,Marietta,2-4 years,1 year or less,Master's degree,Woman,White
35-44,Computing or Tech,Developer,,"96,000.00",0.00,,New York,New York,11-20 years,2-4 years,College degree,Man,White
35-44,Health care,Manager - Analytics,I manage a team of data analysts for a healthcare system,"115,000.00","5,000.00",,Iowa,Des Moines,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Health care,Data Scientist,,"105,000.00","3,000.00",,North Carolina,Morrisville,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Insurance,Systems Analyst,Functionally closer to a Salesforce Administrator,"95,000.00","7,600.00",,Oregon,Portland,11-20 years,5-7 years,College degree,Woman,White
25-34,Entertainment,Content Development Editor,"Writer/Editor of multi-media content (audiobooks, videos, etc)","42,723.00","4,500.00",,Ohio,Toledo,5-7 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Social Media Producer,Creating all social asset for all brands at the company,"61,000.00","2,500.00","I ""work"" 35 hours a week, or at least that's what I'm paid for and we no longer qualify for overtime. That was slashed during COVID.",New York,New York,8-10 years,5-7 years,College degree,Woman,"Black or African American, White"
25-34,Education (Primary/Secondary),Teacher-librarian,,"57,000.00",,10 month employee,New York,Utica,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Business or Consulting,Senior Financial Analyst,,"83,400.00","8,300.00",,Tennessee,Nashville,5-7 years,5-7 years,College degree,Man,White
25-34,"Marketing, Advertising & PR",Account Supervisor,,"85,000.00",0.00,,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
45-54,Property or Construction,Marketing Director,,"107,000.00","5,000.00",,Pennsylvania,Philadelphia,21-30 years,8-10 years,College degree,Woman,White
45-54,Law,litigation support analyst,Legal discovery management,"60,000.00","1,200.00",,Missouri,St Louis,21-30 years,11-20 years,College degree,Woman,White
45-54,Nonprofits,Co-Director,,"78,000.00",,,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Engineering or Manufacturing,"Manager, events and marketing services",,"85,000.00","5,000.00",,New York,Melville,11-20 years,11-20 years,College degree,Other or prefer not to answer,White
35-44,Nonprofits,Director of Government Affairs,,"89,000.00","1,000.00",,Missouri,St. Louis,11-20 years,11-20 years,Master's degree,Man,White
55-64,Education (Higher Education),Director,,"130,000.00",,,Maryland,College Park,41 years or more,31-40 years,Master's degree,Woman,White
45-54,Engineering or Manufacturing,Full Charge Bookkeeper,,"70,000.00","7,200.00",,Pennsylvania,Bethlehem,11-20 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Training and Professional Development Specialist,"I do training and PD specifically for student support professionals, not for/through an HR department.","54,000.00",,,Nebraska,Lincoln,5-7 years,5-7 years,Master's degree,Non-binary,White
45-54,Health care,Chief of Pathology,"Requires 4-yr undergrad degree, 4 yrs medical school and 5 yr residency with appropriate exams.","410,000.00","10,000.00",,New York,Cooperstown,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,People Operations Manager,,"113,000.00",,,Massachusetts,Boston,11-20 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",CPA,,"54,000.00",,,Wisconsin,La Crosse,5-7 years,2-4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Director of Internal Communications,,"137,000.00","20,000.00",,Illinois,Wood Dale,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Staff Accountant,,"42,300.00","2,000.00",,Alabama,Birmingham,11-20 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Manager,,"160,000.00","16,000.00",,Texas,Dallas,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Education (Higher Education),Library supervisor,,"56,000.00",,,California,Berkeley,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Director,,"114,350.00","10,000.00",,Texas,San Antonio,21-30 years,5-7 years,College degree,Man,White
25-34,Engineering or Manufacturing,Engineering Manager,,"100,000.00","2,500.00",,Maryland,DC Area,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Computing or Tech,Engineering Manager,,"185,000.00",,,New York,New York,11-20 years,11-20 years,,Man,White
35-44,Law,Legal Assistant,,"53,000.00",500.00,,Michigan,Detroit,11-20 years,8-10 years,Some college,Woman,White
25-34,Art & Design,Project Manager,,"64,000.00",,,California,Oakland,5-7 years,1 year or less,College degree,Woman,Latino
45-54,Computing or Tech,System Consultant,,"72,000.00",,,Oregon,Virtual,11-20 years,11-20 years,College degree,Woman,White
35-44,Government and Public Administration,Office Administrator,Office manager,"56,000.00",0.00,,Florida,St. Petersburg,21-30 years,21-30 years,High School,Woman,White
35-44,Computing or Tech,Principal Site Reliability Developer,,"169,000.00","70,000.00","""bonus"" is RSU",Texas,Austin,11-20 years,11-20 years,College degree,Man,White
35-44,Education (Higher Education),Lead Gift Analyst,,"75,300.00",,,California,Berkeley,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Government and Public Administration,Collection Development Librarian,,"39,000.00",0.00,,Arkansas,Jonesboro,11-20 years,8-10 years,College degree,Woman,White
45-54,Health care,Sr director,,"153,000.00","38,000.00",,Pennsylvania,Philadelphia,21-30 years,11-20 years,Some college,Woman,White
55-64,Computing or Tech,Software Test Engineer,,"95,000.00","1,500.00",,Alabama,Montgomery,31-40 years,21-30 years,Some college,Woman,White
25-34,Computing or Tech,Software Support,,"60,000.00",,,California,Costa Mesa,5-7 years,5-7 years,College degree,Man,White
45-54,Computing or Tech,Principal Program Manager,,"225,000.00","100,000.00",,Washington,Redmond,11-20 years,8-10 years,College degree,Man,White
35-44,Nonprofits,Administrative Assistant,,"55,000.00",500.00,,California,San Jose,21-30 years,21-30 years,College degree,Woman,White
35-44,Business or Consulting,Principal,,"160,000.00",,,Georgia,Atlanta,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Manager,,"100,000.00","10,000.00",,Tennessee,Narnia,8-10 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Health care,Sales analyst,,"75,000.00",,,Arizona,Phoenix,2-4 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Data Analyst,,"75,000.00","4,000.00",,California,Emeryville,8-10 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Senior Software Engineer,,"504,456.00",,63% of my compensation is RSus,California,Twin Bridges,11-20 years,8-10 years,Some college,Man,White
25-34,Computing or Tech,Software Engineer,,"100,880.00",0.00,,District of Columbia,Washington,8-10 years,2-4 years,College degree,Woman,Black or African American
55-64,Real estate servicea,PM Commercial property consultant,,"70,000.00",,,Indiana,Regional,21-30 years,11-20 years,Some college,Man,White
25-34,Insurance,Liability adjuster,,"55,000.00","20,000.00",,Virginia,Stafford,5-7 years,2-4 years,College degree,Woman,White
